Data;MKT;SMB;HML;WML;RF;BBSA3;PETR4;CMIG4;PORT
2021-03-17;0.021400031;0.002404006;0.000462478;-0.004091214;9.68296E-05;0.0278;0.0344;0.005;0.022106303
2021-03-16;-0.006204667;-0.00684962;-0.005958422;0.018480962;9.64423E-05;0.0027;-0.0156;-0.0106;-0.007054425
2021-03-15;0.007866643;0.001719763;0.004497605;0.006846702;9.6055E-05;-0.007;0.0207;0.0116;0.007253621
2021-03-12;-0.006761554;0.013060769;0.007968048;-0.013675331;9.29548E-05;0.0032;-0.0052;0.0042;0.001094155
2021-03-11;0.017381532;0.018248921;0.002091164;-0.034059212;9.17916E-05;0.005;0.0425;0.0109;0.017860655
2021-03-10;0.011696406;0.007910036;0.006417222;-0.022327382;9.0628E-05;0.0314;0.0347;0.0484;0.038032969
2021-03-09;0.005455918;-0.018711187;-0.006097334;0.018497141;9.02401E-05;-0.0072;0.0232;-0.0105;0.00052765
2021-03-08;-0.039521806;-0.009801432;0.002826776;0.002801914;8.86881E-05;-0.0458;-0.0576;-0.0369;-0.046256327
2021-03-05;0.021075226;0.005147413;0.015912283;-0.014215969;8.59705E-05;0.0186;0.0077;-0.0189;0.00291691
2021-03-04;0.012869721;-0.002846892;0.004329857;-0.017402381;8.55821E-05;0.0362;0.0486;0.0323;0.038499569
2021-03-03;-0.002802643;-0.005712454;-0.00373219;0.005555077;8.63589E-05;0.0021;-0.0364;-0.0084;-0.012586552
2021-03-02;0.010806018;0.003965295;0.010696057;0.002896819;8.48053E-05;0.0384;-0.0005;0.0295;0.024131349
2021-03-01;0.001637113;-0.00927513;-0.012348096;0.028886639;8.44168E-05;-0.0068;-0.0108;-0.036;-0.017708589
2021-02-26;-0.020958368;-0.008158719;0.000180859;0.014847435;8.32511E-05;-0.0492;-0.041;-0.0008;-0.0306627
2021-02-25;-0.0292629;0.001403162;0.001067631;0.002659734;8.16963E-05;-0.0267;-0.0496;-0.0331;-0.035487224
2021-02-24;0.003342894;0.004894603;0.01385474;0.000875717;8.13075E-05;-0.0039;0.0141;-0.0032;0.00156146
2021-02-23;0.022541692;-0.00546602;0.01057536;-0.002798286;8.01409E-05;0.0716;0.1217;0.0098;0.0655221
2021-02-22;-0.043387976;0.004345654;-0.005973006;0.008857235;8.05298E-05;-0.1165;-0.2151;-0.0345;-0.117765438
2021-02-19;-0.003292811;-0.004544436;-0.011534506;0.010939153;7.85849E-05;-0.0189;-0.0663;-0.0124;-0.030496871
2021-02-18;-0.008712912;-0.002762409;8.00462E-05;0.008476225;7.81959E-05;-0.003;-0.0108;-0.0257;-0.012842559
2021-02-17;0.006646436;-0.002819557;0.007993823;0.008205886;7.81959E-05;-0.0116;0.0404;-0.0214;0.000231337
2021-02-12;0.000725309;0.000362845;-0.00161041;-0.001959437;7.70283E-05;-0.0056;0.0128;-0.0153;-0.003493849
2021-02-11;0.007032228;-0.004600829;-0.003309877;0.002911554;7.70283E-05;0.0038;0.0101;0.0007;0.004594962
2021-02-10;-0.008937648;-0.010684408;-0.002427654;0.015413348;7.70283E-05;-0.0137;0.0094;-0.0136;-0.006957607
2021-02-09;-0.001153965;-0.004254747;0.003728006;0.008339946;7.66391E-05;0.0121;-0.0203;-0.0169;-0.006990141
2021-02-08;-0.004174954;-0.002911382;-0.006055368;0.008297198;7.66391E-05;-0.0027;-0.0314;0.0014;-0.009666876
2021-02-05;0.00631411;-0.002868809;-0.00017322;0.010114492;7.62498E-05;-0.0067;0.0069;-0.0105;-0.004018531
2021-02-04;-0.003655973;-0.001393553;-0.002099315;0.003707936;7.58605E-05;-0.0041;-0.001;-0.009;-0.004835259
2021-02-03;0.011873834;-0.001758885;0.000450034;-0.000619366;7.58605E-05;0.0079;0.0066;0.0098;0.00815665
2021-02-02;0.00610497;0.009126686;-0.010836648;-0.011588739;7.58605E-05;-0.0067;0.041;0.0099;0.012694698
2021-02-01;0.020947127;0.002422892;0.011426182;0.011324214;7.54711E-05;0.0127;0.0315;0.0321;0.0246358
2021-01-29;-0.029998001;0.011734029;0.00204182;0.001442496;7.46923E-05;-0.0197;-0.0385;-0.0318;-0.029199086
2021-01-28;0.02322701;0.003112808;0.003123611;-0.018913157;7.46923E-05;0.0283;0.0139;0.0513;0.031795075
2021-01-27;-0.005962852;0.004379961;0.010893134;-0.02101237;7.54711E-05;0.0244;0.0141;-0.0015;0.012763208
2021-01-26;-0.009096218;-0.002526492;-0.012096966;0.000829932;7.54711E-05;-0.0267;-0.0033;-0.0232;-0.018735569
2021-01-22;-0.009715253;-0.006062387;0.000578864;0.005504657;7.50817E-05;-0.0143;-0.0167;-0.0022;-0.010958104
2021-01-21;-0.011716699;-0.000833936;-0.007553274;0.012856154;7.50817E-05;-0.0101;-0.0234;-0.0007;-0.010825079
2021-01-20;-0.007546482;0.009882262;-0.013161828;0.003675122;7.54711E-05;-0.0224;-0.0167;-0.024;-0.021278603
2021-01-19;-0.006157166;-0.008338036;-0.007965111;0.003945578;7.54711E-05;-0.017;0.0221;-0.0173;-0.005744189
2021-01-18;0.008247258;-0.008393618;-0.008910717;0.016886007;7.50817E-05;-0.0102;-0.0018;-0.0164;-0.009829896
2021-01-15;-0.023956653;0.007906226;-0.008887873;0.005372543;7.50817E-05;-0.031;-0.0452;-0.0227;-0.032353645
2021-01-14;0.014198681;0.001423607;0.004751835;-0.011328476;7.54711E-05;-0.0024;0.0103;0.0149;0.007063183
2021-01-13;-0.015194459;0.004822872;-0.00456993;0.005763241;7.54711E-05;-0.0494;-0.0483;0.0089;-0.029620193
2021-01-12;0.008622814;0.008121847;-0.007935313;-0.008542743;7.54711E-05;0.0092;-0.0075;-0.0041;-8.97314E-05
2021-01-11;-0.013868136;0.008724163;-0.006872615;0.016154749;7.54711E-05;-0.0163;-0.0084;-0.0348;-0.020180809
2021-01-08;0.022381589;-0.004608434;-0.015069367;0.013525553;7.54711E-05;0.0058;0.0039;0.0687;0.02624397
2021-01-07;0.023860108;-0.023816939;-0.007811846;0.013365456;7.54711E-05;0.0413;0.0309;-0.0131;0.020120968
2021-01-06;-0.00054451;-0.010819018;0.020143449;0.005031257;7.50817E-05;0.0212;0.001;0.0226;0.015800558
2021-01-05;0.003661163;-0.007609817;0.002084902;0.006812541;7.54711E-05;-0.0104;0.0391;0;0.00744794
2021-01-04;-0.001547009;0.000421471;0.005898404;0.017181113;7.54711E-05;-0.0312;0.0201;-0.0094;-0.009024
2020-12-30;-0.003612118;0.006592953;0.002978528;0.005674711;7.54711E-05;-0.0082;0.0025;0.0062;-0.000285694
2020-12-29;0.002855727;0.007017204;0.00130056;-0.00074433;7.50817E-05;-0.0058;0.0032;-0.0034;-0.002384987
2020-12-28;0.011488119;-0.007292852;-0.007678826;0.000523634;7.54711E-05;0.011;0.0082;0.024;0.014526139
2020-12-23;0.00946451;0.002305413;0.007703656;-0.006002619;7.54711E-05;0.0165;0.0246;0.0238;0.021289225
2020-12-22;0.005450706;-0.018404111;-0.011633254;0.01786159;7.54711E-05;0.0132;0.0096;0.0259;0.016393654
2020-12-21;-0.017780082;-0.001684813;0.000471091;0.011510488;7.54711E-05;-0.0335;-0.0384;-0.033;-0.034756226
2020-12-18;-0.002662569;-0.002594059;0.007622113;0.006534749;7.50817E-05;-0.0074;-0.005;0.0109;-0.000594486
2020-12-17;0.004151133;-0.00659339;-0.007659101;0.009601438;7.54711E-05;0.001;0.0018;0.0245;0.009076562
2020-12-16;0.013305949;-0.006882315;-0.009553609;0.003094673;7.54711E-05;0.0092;0.0122;0;0.007000374
2020-12-15;0.013806291;-0.006096106;-0.00092742;0.003767108;7.54711E-05;0.0127;0.0083;-0.0081;0.004479128
2020-12-14;-0.004198008;0.001713492;-0.006034935;0.002305582;7.54711E-05;0.0033;0.0018;-0.0073;-0.000673892
2020-12-11;-0.000150094;0.002027675;0.010148904;0.00451334;7.54711E-05;0.0174;-0.009;0.034;0.015273576
2020-12-10;0.016895555;-0.008544696;0.000784284;-0.007133972;7.54711E-05;0.052;0.0327;0.0169;0.03467838
2020-12-09;-0.005974204;-0.002599011;0.005630841;-0.001996819;7.54711E-05;-0.0137;0.0105;-0.0023;-0.002866231
2020-12-08;0.002273466;0.002424822;-0.007754916;0.000476289;7.54711E-05;-0.0011;-0.0126;-0.0136;-0.00861244
2020-12-07;-0.000548544;-0.001779778;0.005664697;-0.000739024;7.54711E-05;0.0145;-0.0193;0.045;0.014864138
2020-12-04;0.011599449;0.002525527;-0.002841969;0.017738828;7.50817E-05;0.021;0.0334;-0.0194;0.011116001
2020-12-03;0.003080242;0.007042331;-0.005766474;-0.022490121;7.54711E-05;0.0086;0.0282;-0.0077;0.008851615
2020-12-02;0.004154113;0.015860105;0.005839182;-0.009533444;7.50817E-05;0.0043;0.0121;0.0046;0.00666552
2020-12-01;0.020961838;0.000260366;0.01045099;-0.016066423;7.50817E-05;0.0275;0.0281;0.0253;0.026939908
2020-11-30;-0.016714703;-0.00414073;-0.003861938;-3.9408E-05;7.54711E-05;-0.0217;-0.0235;0.0145;-0.010139351
2020-11-27;0.002896341;0.001528983;0.00075922;0.010089959;7.54711E-05;-0.0049;-0.0124;0.0114;-0.00163737
2020-11-26;0.001013946;-0.00152848;0.009901037;0.011715887;7.62498E-05;-0.0158;-0.0164;-0.0089;-0.013671065
2020-11-25;0.003160557;0.024744334;0.006387871;0.005781052;7.54711E-05;-0.0028;0.0011;0.0114;0.003072599
2020-11-24;0.018656552;0.006059837;0.011794052;-0.011948694;7.58605E-05;0.0267;0.0446;0.0363;0.035103205
2020-11-23;0.011350939;-0.000960288;0.004510398;-0.004213758;7.54711E-05;0.0079;0.0613;0.0154;0.025912621
2020-11-20;-0.006192819;0.006143221;-0.001202384;0.004813035;7.58605E-05;-0.0107;-0.0071;-0.0234;-0.013893654
2020-11-19;0.003547707;0.008002041;0.00080438;0.004143429;7.54711E-05;0.0099;0.0115;-0.0083;0.004289599
2020-11-18;-0.011160705;0.003689152;0.005086255;0.00048039;7.54711E-05;0.0023;-0.0059;0.0135;0.003656965
2020-11-17;0.007152793;-0.001033215;0.000784993;-0.013068186;7.54711E-05;0.0147;0.0172;0.0119;0.014491454
2020-11-16;0.014056379;-0.000492346;0.009852743;-0.017478283;7.54711E-05;0.0257;0.0292;0.038;0.030822213
2020-11-13;0.022144113;0.008283015;0.002024742;-0.001393192;7.54711E-05;0.0098;0.0329;0.0263;0.022016654
2020-11-12;-0.020070847;-0.006729674;-0.005035387;0.020679746;7.54711E-05;-0.0419;-0.0424;-0.023;-0.035736465
2020-11-11;-0.004399867;0.003109726;-0.004923545;0.013873464;7.54711E-05;-0.0061;-0.0087;-0.0342;-0.016234806
2020-11-10;0.012587465;-0.009376172;0.003848932;-0.026408155;7.54711E-05;0.0511;0.068;0.0219;0.046261471
2020-11-09;0.022939736;-0.013381738;0.005729116;-0.061327897;7.54711E-05;0.0725;0.0942;0.0214;0.061745411
2020-11-06;0.001488179;0.020791151;0.010201504;-0.009494205;7.50817E-05;-0.0065;-0.007;0.0136;6.40909E-05
2020-11-05;0.02895611;-0.007496854;-0.011937344;-0.00550759;7.50817E-05;0.0122;0.0086;0.0366;0.019299072
2020-11-04;0.020499635;0.011944504;-0.013559379;0.001293857;7.54711E-05;0.0073;0.0036;0.0319;0.014436787
2020-11-03;0.02233557;-0.006698787;0.01194066;0.015616071;7.58605E-05;0.0101;0.0375;0.0078;0.017290146
2020-10-30;-0.028842553;-0.009058442;0.001015257;-0.003402075;7.50817E-05;-0.0375;-0.0181;-0.0135;-0.023854477
2020-10-29;0.008093237;0.013725359;0.010648377;0.006612699;7.46923E-05;-0.0058;0.0332;-0.0057;0.005560286
2020-10-28;-0.041126464;-0.022257816;-0.010819782;0.014984235;7.54711E-05;-0.05;-0.0609;-0.0261;-0.045187991
2020-10-27;-0.012450246;-0.001079068;-0.003380997;0.003765313;7.54711E-05;-0.0215;-0.0183;-0.0183;-0.019502464
2020-10-26;-0.001084431;-0.013424855;-0.00110711;0.006402676;7.54711E-05;-0.0009;-0.0156;0.0018;-0.004268122
2020-10-23;-0.004338008;0.004293487;0.002758836;-0.008408507;7.58605E-05;-0.0036;-0.013;-0.0082;-0.007865538
2020-10-22;0.01424398;-0.016242485;-0.0024097;-0.002020577;7.50817E-05;0.0434;0.0337;0.0064;0.028232328
2020-10-21;-0.001000898;0.001467888;0.008319065;-0.004319567;7.54711E-05;0.0075;-0.001;-0.0027;0.001626592
2020-10-20;0.018161956;0.000544892;0.005933378;-0.002702469;7.54711E-05;0.0461;0.0338;0.0129;0.031445628
2020-10-19;0.001400904;-0.004873747;-0.004739054;-0.010166324;7.50817E-05;0.0109;0.0098;-0.0082;0.004205012
2020-10-16;-0.005935833;0.000837978;-2.09587E-05;0.002896533;7.54711E-05;-0.0254;-0.0213;-0.0009;-0.016031211
2020-10-15;-0.002204539;0.002552944;0.003044695;-7.73564E-05;7.54711E-05;0.0068;-0.011;0.0028;0.000295098
2020-10-14;0.007190682;-0.000576724;-0.001576029;0.006250893;7.54711E-05;-0.0064;-0.0079;0.0168;0.000908426
2020-10-13;0.010878619;0.00025841;-0.017088916;-0.003628048;7.54711E-05;0.0003;0.0167;0.0028;0.0058976
2020-10-09;-0.001483305;0.017096765;0.009546898;0.009916365;7.50817E-05;-0.0067;-0.0313;0.0066;-0.009405172
2020-10-08;0.022838613;-0.005074771;-0.002160519;-0.009195888;7.54711E-05;0.0483;0.0328;0.0202;0.034418602
2020-10-07;0.000480397;0.00930281;0.005648956;0.011299545;7.50817E-05;-0.0073;-0.007;-0.0019;-0.005410369
2020-10-06;-0.001370102;0.007818869;0.000815097;-0.012801183;7.50817E-05;-0.0066;-0.005;-0.0076;-0.006469103
2020-10-05;0.019958414;-0.011639506;-0.001290254;0.009091774;7.54711E-05;0.0175;0.0531;0.0345;0.033513971
2020-10-02;-0.013767477;9.48682E-05;0.006516652;-0.003634309;7.54711E-05;-0.0027;-0.0418;-0.0117;-0.017060117
2020-10-01;0.010327853;0.020291451;0.006122554;-0.006404452;7.50817E-05;0.0057;0.0122;0.0168;0.011292958
2020-09-30;0.01072025;0.009663599;0.003832878;-0.001588083;7.50817E-05;-0.0047;0.0155;-0.003;0.00173421
2020-09-29;-0.009796722;-0.010278267;-0.006741692;0.011907549;7.54711E-05;-0.0246;-0.0163;-0.0069;-0.016281206
2020-09-28;-0.0231626;0.003136648;0.008572021;-0.005800927;7.58605E-05;0.0069;-0.0248;-0.0249;-0.012921467
2020-09-25;-0.000278302;0.00553585;0.000142897;0.006861391;7.54711E-05;-0.0039;-0.0132;-0.0223;-0.012742885
2020-09-24;0.012838874;-0.005001945;-0.00451147;-0.000343152;7.54711E-05;0.008;0.0084;0.0355;0.017295574
2020-09-23;-0.017269704;-0.01185945;-0.002951048;-0.002272004;7.54711E-05;-0.0208;-0.0274;-0.0207;-0.022683481
2020-09-22;0.003293852;0.000330884;0.003510051;-0.001459767;7.54711E-05;-0.0019;-0.0048;0.0182;0.00396705
2020-09-21;-0.011603022;-0.01497794;-0.005210437;0.013105213;7.54711E-05;-0.0147;-0.0346;-0.0179;-0.021547775
2020-09-18;-0.017611086;0.001674496;-0.000107942;0.007512961;7.54711E-05;-0.0252;-0.0226;-0.0266;-0.024912188
2020-09-17;0.00461051;-0.011252678;0.002938545;0.003446794;7.54711E-05;0.0019;0.0193;0.0102;0.009724053
2020-09-16;-0.007169515;0.005732379;0.004071301;-0.01439135;7.50817E-05;0.0031;0.0028;0.0179;0.007953057
2020-09-15;0.00115943;-0.006266466;0.000322228;0.013821281;7.50817E-05;-0.0114;-0.0005;-0.0185;-0.010604229
2020-09-14;0.019937817;0.018934261;-0.006086357;-0.006745024;7.50817E-05;0.0145;-0.0091;0.0056;0.004674982
2020-09-11;-0.008262634;-0.004982903;0.000882961;0.008409961;7.54711E-05;-0.0163;-0.0108;-0.0245;-0.017439746
2020-09-10;-0.023866143;0.003395708;-0.000100529;-0.005271068;7.50817E-05;-0.0208;-0.0268;-0.0143;-0.020372924
2020-09-09;0.011630422;-0.022566814;-0.004349511;0.018301023;7.50817E-05;-0.0012;0.0211;0.0438;0.020297505
2020-09-08;-0.010026166;0.005291423;0.006865092;-0.008110784;7.50817E-05;-0.0203;-0.0288;-0.0065;-0.018162294
2020-09-04;0.00386577;0.006409935;0.005800583;-0.005433693;7.50817E-05;0.0053;0.0017;-0.0119;-0.001486859
2020-09-03;-0.011814167;-0.005161109;0.006122705;-0.014495224;7.50817E-05;0.0156;0.0035;0.0046;0.008413994
2020-09-02;-0.001099145;0.016998943;-0.006395523;-0.00832605;7.50817E-05;0.0012;-0.0031;0.0028;0.00048521
2020-09-01;0.02699939;-0.004623692;0.000479747;-0.003215358;7.54711E-05;0.0172;0.0448;0.0294;0.02928828
2020-08-31;-0.02627106;0.011610243;-0.002590938;0.005278012;7.50817E-05;-0.0222;-0.0288;-0.0401;-0.030091817
2020-08-28;0.015535988;-0.003648818;-0.004397728;0.002766966;7.50817E-05;0.0195;0.0176;0.0176;0.018313963
2020-08-27;0.000345031;-0.009284724;-0.014056959;-0.000175372;7.54711E-05;0.0092;-0.0032;0.0122;0.006600014
2020-08-26;-0.014432704;-0.00042212;-0.007900184;0.0095807;7.54711E-05;-0.0241;-0.0284;-0.0423;-0.031423958
2020-08-25;-0.000543224;0.005360911;-0.001436051;0.001737286;7.50817E-05;-0.006;-0.0044;0.0296;0.006347845
2020-08-24;0.00648348;-0.008287126;0.001910052;-0.006344424;7.50817E-05;0.0289;0.0182;-0.0009;0.015845229
2020-08-21;0.00233741;0.00878226;0.001114412;-0.011368707;7.50817E-05;0.0092;-0.0075;0.0344;0.01276143
2020-08-20;0.004960279;0.013205684;0.003073826;-0.00630407;7.50817E-05;0.0009;-0.007;-0.0067;-0.003931277
2020-08-19;-0.011366624;0.002524243;-0.002000537;0.008499602;7.46923E-05;-0.0046;-0.0056;0.0057;-0.001452331
2020-08-18;0.023859054;0.01560016;0.001707204;0.000841413;7.43028E-05;0.0136;0.0186;0.0265;0.019358141
2020-08-17;-0.019487275;-0.016986586;-0.002057301;0.012790911;7.46923E-05;-0.0256;-0.0031;-0.0202;-0.017262746
2020-08-14;0.007879175;0.000507436;-0.000836311;-0.009616917;7.46923E-05;0.0033;-0.0074;-0.0019;-0.00154338
2020-08-13;-0.013676899;0.008428887;-0.006461531;0.022608954;7.46923E-05;-0.0201;-0.0273;-0.0325;-0.026330196
2020-08-12;-0.002274929;-0.018928938;-0.005505059;0.013971797;7.43028E-05;-0.0053;0.0173;-0.0218;-0.004243844
2020-08-11;-0.010362498;0.018823059;-0.011102613;-0.028084781;7.43028E-05;-0.0145;-0.0158;-0.0161;-0.015411638
2020-08-10;0.004736966;-0.012088986;0.008605814;-0.00174314;7.43028E-05;0.0094;0.029;0.0009;0.012255227
2020-08-07;-0.011294413;0.00820552;-0.006416098;-0.004518082;7.46923E-05;-0.007;-0.0185;-0.0202;-0.014746098
2020-08-06;0.013974907;-0.015828695;-0.014897743;-0.002860843;7.46923E-05;0.0306;0.0017;0.0401;0.025377538
2020-08-05;0.013893353;0.015165549;0.00297432;-0.000623856;7.78067E-05;0.0009;0.0643;-0.0081;0.016309316
2020-08-04;-0.015745267;-0.00592407;-0.006272581;0.010549814;7.70283E-05;-0.0306;-0.0009;-0.0221;-0.019136856
2020-08-03;-0.00249695;-0.010963917;-0.010572713;0.006048253;7.70283E-05;0.0229;-0.018;0.003;0.004378722
2020-07-31;-0.017790651;-0.009280298;-0.003475527;0.016581435;7.78067E-05;-0.0351;-0.0272;-0.0196;-0.027631731
2020-07-30;-0.003918459;0.006507271;-0.005387735;0.020000707;7.78067E-05;-0.032;-0.0151;0.0041;-0.015041624
2020-07-29;0.012674291;0.007937938;-0.000842121;0.005917452;7.81959E-05;0.0263;0.0162;-0.0161;0.009213654
2020-07-28;-0.004076852;0.001408219;0.00298328;-0.012298355;7.85849E-05;0.0034;-0.0172;0.0032;-0.002649689
2020-07-27;0.020383386;-0.009292582;0.007122973;-0.009823315;7.8974E-05;-0.1128;0.0207;0.0283;-0.026928457
2020-07-24;0.001732338;-0.010891177;-0.001725178;-0.002713011;8.01409E-05;-0.0116;0.0071;-0.0259;-0.010942182
2020-07-23;-0.019533835;-0.005903739;0.004520552;0.005918743;8.16963E-05;-0.0241;-0.0208;-0.0206;-0.021973282
2020-07-22;0.001509804;-0.011557426;-0.005956358;0.010505396;8.16963E-05;-0.0082;-0.0137;0.0775;0.018808967
2020-07-21;0.000885001;0.007055798;-0.004793956;-0.009435343;8.24738E-05;0.0048;0.0277;-0.011;0.006176944
2020-07-20;0.014688464;-0.005988181;-0.007868472;0.014376142;8.20851E-05;-0.0039;0;0.0273;0.007647138
2020-07-17;0.022005202;-0.015692458;-0.005632544;0.010755497;8.24738E-05;0.0308;0.0009;0.0065;0.014004786
2020-07-16;-0.011800933;0.000775439;-0.004139395;0.005464028;8.24738E-05;-0.0084;-0.45;-0.0175;-0.139692977
2020-07-15;0.013147284;-0.009499026;0.004403878;-0.004716781;8.24738E-05;0.0099;0.0192;0.0032;0.010364596
2020-07-14;0.013364409;-0.008546788;-0.002495375;0.006892884;8.28625E-05;0.0163;0.0334;-0.0218;0.00854877
2020-07-13;-0.014201893;0.001259796;0.007707643;-0.004785226;8.32511E-05;-0.01;-0.0155;0.0126;-0.004053586
2020-07-10;0.007366606;0.015744559;0.005782628;-0.017138176;8.36397E-05;0.0053;0.0167;-0.0047;0.005272978
2020-07-09;-0.004060103;-0.002924487;-0.00491193;0.008908123;8.36397E-05;-0.0038;-0.0225;0.0063;-0.005859763
2020-07-08;0.018175619;-4.37889E-05;0.008460156;-0.001573591;8.40283E-05;0.0243;0.0189;0.0227;0.022197585
2020-07-07;-0.011131182;0.008236058;-0.004116936;0.016244613;8.40283E-05;-0.0401;-0.0124;-0.0096;-0.021874202
2020-07-06;0.020581644;-0.000967305;-0.002270771;-0.015981708;8.40283E-05;0.0349;0.0241;0.0213;0.027223687
2020-07-03;0.006735815;0.009380972;0.006816813;0.004132896;8.44168E-05;0.0103;-0.0036;0;0.002824872
2020-07-02;-0.000342908;0.007594777;0.013547447;0.001913084;8.44168E-05;0.0027;0.0161;-0.0049;0.004054956
2020-07-01;0.01457716;0.014267348;-0.001680333;-0.001593521;8.44168E-05;0.0286;0.0074;0.0149;0.017869799
2020-06-30;-0.006004992;0.005413676;0.007890099;0.008340127;8.44168E-05;-0.0386;-0.0051;0.0134;-0.011513065
2020-06-29;0.019165335;0.003449257;0.004225295;-0.004113652;8.44168E-05;0.0509;0.0393;0.0258;0.039152682
2020-06-26;-0.021952074;-0.004803803;-0.002960689;0.002121035;8.44168E-05;-0.036;-0.0293;-0.0537;-0.039962292
2020-06-25;0.016629191;-0.009244625;-0.009536969;0.003040431;8.44168E-05;0.0245;0.0224;0.0149;0.020685644
2020-06-24;-0.017190654;-0.005584391;-0.009775829;0.027832558;8.44168E-05;-0.0391;-0.03;-0.0319;-0.034053721
